run,device,device_name,sm,sm_count,cell,axis,points,voxel_m,pool_blocks,blocks,load_factor,batch,scratch_slots,arm,stage,p50_ms,p95_ms,p99_ms,min_ms,mean_ms,n,gpu_state
1,1,"NVIDIA GeForce RTX 5060",120,30,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A4-rust,update,0.437400,0.441268,0.444548,0.431996,0.437759,30,"2797, 13801, 43, 75.16"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A5-triton,allocate,0.964776,0.966908,0.967268,0.961528,0.964447,30,"2797, 13801, 43, 75.16"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A5-triton,update,0.506096,0.508832,0.508900,0.504044,0.506251,30,"2797, 13801, 43, 75.16"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A3-cuda,allocate,0.061648,0.062072,0.062204,0.060684,0.061492,30,"2797, 13801, 43, 70.59"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A3-cuda,update,0.522716,0.525928,0.527476,0.521152,0.522824,30,"2797, 13801, 43, 70.59"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A4-rust,allocate,0.069016,0.069332,0.069360,0.068436,0.068996,30,"2797, 13801, 43, 70.59"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A4-rust,update,0.532232,0.534824,0.535532,0.529436,0.532117,30,"2797, 13801, 43, 70.59"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A5-triton,allocate,0.965116,0.966676,0.967284,0.962988,0.965088,30,"2797, 13801, 43, 70.59"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-1.0,extent,320000,0.010000,65536,4752,0.036255,8,65536,A5-triton,update,0.650800,0.652612,0.652620,0.648660,0.650893,30,"2797, 13801, 43, 70.59"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-2.0,extent,320000,0.010000,131072,18160,0.069275,4,65536,A3-cuda,allocate,0.088008,0.088624,0.088648,0.086272,0.087713,30,"2805, 13801, 42, 68.38"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-2.0,extent,320000,0.010000,131072,18160,0.069275,4,65536,A3-cuda,update,1.178352,1.182184,1.184512,1.175280,1.178435,30,"2805, 13801, 42, 68.38"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-2.0,extent,320000,0.010000,131072,18160,0.069275,4,65536,A4-rust,allocate,0.089232,0.089680,0.090464,0.087992,0.089170,30,"2805, 13801, 42, 68.38"
